 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,311,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,38585.209,6430.868167,311.0,0.0,311,311,311,311.0,0.0,311,311,0,0.0,0.0,0,0,0,0,0,0,40,0,6430.868167,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
61513,8,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,1500000.0,250000.0,8.0,0.0,8,8,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,125000.0,125000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,119,16360,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5919990,9,10,1714,4904,581,0,190.4444444,255.0147599,1448,0,490.4,569.1965488,1117.907294,3.209464881,328888.3333,1159053.077,4961379,3,958608,119826.0,99811.43314,224708,213,5739072,637674.6667,1638641.611,5000475,3,0,0,0,0,296,328,1.520272838,1.689192043,0,1448,330.9,457.543199,209345.7789,0,0,0,1,0,0,0,0,1,348.3157895,190.4444444,490.4,296,0,0,0,0,0,0,9,1714,10,4904,29200,149,4,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,226,2,2,62,184,31,31,31.0,0.0,92,92,92.0,0.0,1088495.575,17699.11504,75.33333333,127.8840621,223,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,80,80,8849.557522,8849.557522,31,92,55.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,69.25,31.0,92.0,80,0,0,0,0,0,0,2,62,2,184,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,390972,5,5,837,1969,561,0,167.4,237.2789498,1795,0,393.8,785.2386262,7176.984541,25.57727919,43441.33333,63886.49691,128695,4,259929,64982.25,73763.67976,128965,401,262277,65569.25,74286.40328,130726,4,0,0,0,0,112,112,12.7886396,12.7886396,0,1795,255.0909091,537.7104155,289132.4909,0,0,0,1,0,0,0,0,1,280.6,167.4,393.8,112,0,0,0,0,0,0,5,837,5,1969,8192,61,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,161,2,2,92,124,46,46,46.0,0.0,62,62,62.0,0.0,1341614.907,24844.7205,53.66666667,86.89265408,154,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,12422.36025,12422.36025,46,62,52.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,65.5,46.0,62.0,40,0,0,0,0,0,0,2,92,2,124,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,4896009,9,10,726,14781,684,0,80.66666667,226.2587015,2920,0,1478.1,973.8962356,3167.27359,3.880711821,272000.5,935559.786,3949489,12,946520,118315.0,267511.7283,777560,244,4844921,538324.5556,1308897.105,3949562,49,0,0,0,0,192,212,1.838231915,2.042479906,0,2920,775.35,995.4849797,990990.3447,0,0,0,1,0,0,0,0,1,816.1578947,80.66666667,1478.1,192,0,0,0,0,0,0,9,726,10,14781,8192,221,8,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24040,2,2,76,200,38,38,38.0,0.0,100,100,100.0,0.0,11480.86522,166.3893511,8013.333333,13876.03641,24036,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,40,40,83.19467554,83.19467554,38,100,62.8,33.95879857,1153.2,0,0,0,0,0,0,0,0,1,78.5,38.0,100.0,40,0,0,0,0,0,0,2,76,2,200,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,47,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,659574.4681,42553.19149,47.0,0.0,47,47,47,47.0,0.0,47,47,0,0.0,0.0,0,0,1,0,0,0,64,0,42553.19149,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,245,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,66072182,12,11,379,4225,379,0,31.58333333,109.407876,1418,0,384.0909091,657.8742212,69.68136757,0.348104139,3003281.0,4599570.951,10200000,25,66100000,6006562.0,4999607.016,10200000,221,61300000,6127243.2,5260905.901,10200000,65,0,0,0,0,392,360,0.181619551,0.166484588,0,1418,191.8333333,475.9982341,226574.3188,0,0,0,1,0,0,0,0,0,200.173913,31.58333333,384.0909091,392,0,0,0,0,0,0,12,379,11,4225,29200,340,1,32,46937.66667,24551.41855,97051,36761,10200000.0,79986.90148,10200000,10000000,BENIGN
