 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,3058609,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,59.1772273,1.961676043,611721.8,1310991.77,2956646,48,3058609,764652.25,1461814.273,2956646,48,0,0.0,0.0,0,0,1,0,0,0,100,20,1.634730036,0.326946007,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,256,351,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,211,2,2,66,218,33,33,33.0,0.0,109,109,109.0,0.0,1345971.564,18957.34597,70.33333333,120.088856,209,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,9478.672986,9478.672986,33,109,63.4,41.62691437,1732.8,0,0,0,0,0,0,0,0,1,79.25,33.0,109.0,64,0,0,0,0,0,0,2,66,2,218,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,60946809,17,18,1516,6982,385,0,89.17647059,149.0126821,1460,0,387.8888889,532.287062,139.4330588,0.574271247,1792553.206,3844374.3,9999931,6,60900000,3809175.563,4966056.188,10100000,468,60900000,3582071.882,4904755.711,10100000,48,0,0,0,0,376,444,0.278931749,0.295339498,0,1460,236.0555556,414.3604328,171694.5683,0,0,0,1,0,0,0,0,1,242.8,89.17647059,387.8888889,376,0,0,0,0,0,0,17,1516,18,6982,8192,74,14,20,144906.6667,230789.15,616003,50552,9973641.0,62616.8173,9999931,9845846,BENIGN
53,31054,2,2,60,220,30,30,30.0,0.0,110,110,110.0,0.0,9016.551813,128.807883,10351.33333,17923.83911,31048,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,64.40394152,64.40394152,30,110,62.0,43.8178046,1920.0,0,0,0,0,0,0,0,0,1,77.5,30.0,110.0,40,0,0,0,0,0,0,2,60,2,220,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,94199,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,1019.119099,21.23164789,94199.0,0.0,94199,94199,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,10.61582395,10.61582395,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
56836,9010,2,1,280,6,274,6,140.0,189.5046174,6,6,6.0,0.0,31742.50832,332.963374,4505.0,6273.451363,8941,69,9010,9010.0,0.0,9010,9010,0,0.0,0.0,0,0,1,0,0,0,40,20,221.9755827,110.9877913,6,274,140.0,154.7298721,23941.33333,0,1,0,0,1,0,0,0,0,186.6666667,140.0,6.0,40,0,0,0,0,0,0,2,280,1,6,60,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,244817,2,2,80,242,40,40,40.0,0.0,121,121,121.0,0.0,1315.268139,16.33873465,81605.66667,141340.8307,244812,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,8.169367323,8.169367323,40,121,72.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,90.5,40.0,121.0,64,0,0,0,0,0,0,2,80,2,242,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,207,2,2,86,194,43,43,43.0,0.0,97,97,97.0,0.0,1352657.005,19323.6715,69.0,113.4504297,200,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,9661.835749,9661.835749,43,97,64.6,29.57701811,874.8,0,0,0,0,0,0,0,0,1,80.75,43.0,97.0,40,0,0,0,0,0,0,2,86,2,194,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,33280,4,2,140,166,35,35,35.0,0.0,83,83,83.0,0.0,9194.711538,180.2884615,6656.0,13528.55517,30795,3,30802,10267.33333,17777.48082,30795,3,191,191.0,0.0,191,191,0,0,0,0,80,40,120.1923077,60.09615385,35,83,48.71428571,23.42160175,548.5714286,0,0,0,0,0,0,0,0,0,56.83333333,35.0,83.0,80,0,0,0,0,0,0,4,140,2,166,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,118093931,19,20,1756,6346,822,0,92.42105263,188.8645358,1430,0,317.3,466.6402988,68.60640451,0.330245591,3107735.026,13300000.0,58900000,1,118000000,6560773.944,19000000.0,58900000,169,118000000,6210906.842,18600000.0,59000000,1,0,0,0,0,392,412,0.160888878,0.169356713,0,1430,202.55,369.1356467,136261.1256,0,0,0,1,0,0,0,0,1,207.7435897,92.42105263,317.3,392,0,0,0,0,0,0,19,1756,20,6346,8192,373,18,20,176130.5,124984.6591,264508,87753,58800000.0,129626.8151,58900000,58700000,BENIGN
